DATE,STEENBRAS No.1,THEEWATERS-KLOOF,NEWLANDS,WYNBERG,CONSTANTIA NEK,STEENBRAS,WEMMERSHOEK,STEENBRAS No.2,STEENBRAS No.3,Day,Month,Year
01-Jan-00,,,,,,8,,,,1,1,2000
02-Jan-00,,,,,,8,,,,2,1,2000
03-Jan-00,,,,,,7,,,,3,1,2000
04-Jan-00,,,,,,9,,,,4,1,2000
05-Jan-00,,,,,,8,,,,5,1,2000
06-Jan-00,6.5,,,,6,5.5,,,,6,1,2000
07-Jan-00,,,10.5,,,7,,,,7,1,2000
08-Jan-00,,,,,,6,,,,8,1,2000
09-Jan-00,,,,,,7.5,,,,9,1,2000
10-Jan-00,12,,,5,9,4.5,,,,10,1,2000
11-Jan-00,,,8.5,,,5,,,,11,1,2000
12-Jan-00,,,,,,9,,,,12,1,2000
13-Jan-00,,,,,,9,,,,13,1,2000
14-Jan-00,,,,,,9,,,,14,1,2000
15-Jan-00,,,,,,4,,,,15,1,2000
16-Jan-00,,,,,,10,,,,16,1,2000
17-Jan-00,,,,,,8.5,,,,17,1,2000
18-Jan-00,,,,,,10,,,,18,1,2000
19-Jan-00,,,,,,8,,,,19,1,2000
20-Jan-00,,,,,,11.5,,,,20,1,2000
21-Jan-00,,,,,,11,,,,21,1,2000
22-Jan-00,,,,,,9,,,,22,1,2000
23-Jan-00,,,,,,3.5,,,,23,1,2000
24-Jan-00,,,,,,8.5,,,,24,1,2000
25-Jan-00,,,,,,9,,,,25,1,2000
26-Jan-00,6.8,,,0.1,4.4,6,,,,26,1,2000
27-Jan-00,,,,1,,8,,,,27,1,2000
28-Jan-00,,,,,,5.5,,,,28,1,2000
29-Jan-00,20.9,,,15,24.8,2.4,,,,29,1,2000
30-Jan-00,,,42.7,,,5,,,,30,1,2000
31-Jan-00,,,,,,6,,,,31,1,2000
01-Feb-00,,,,,,9,,,,1,2,2000
02-Feb-00,,,,,,6,,,,2,2,2000
03-Feb-00,,,,,,7.5,,,,3,2,2000
04-Feb-00,,,,,,7.5,,,,4,2,2000
05-Feb-00,,,,,,9,,,,5,2,2000
06-Feb-00,,,,,,5,,,,6,2,2000
07-Feb-00,,,,,,12,,,,7,2,2000
08-Feb-00,,,,,,7.5,,,,8,2,2000
09-Feb-00,,,,,,7.5,,,,9,2,2000
10-Feb-00,,,,,,7,,,,10,2,2000
11-Feb-00,,,,,,5,,,,11,2,2000
12-Feb-00,,,,,,9,,,,12,2,2000
13-Feb-00,,,,,,6,,,,13,2,2000
14-Feb-00,,,,,,7,,,,14,2,2000
15-Feb-00,,,,,,11,,,,15,2,2000
16-Feb-00,,,,,,6.5,,,,16,2,2000
17-Feb-00,,,,,,7.5,,,,17,2,2000
18-Feb-00,,,,,,3,,,,18,2,2000
19-Feb-00,,,,,,7,,,,19,2,2000
20-Feb-00,,,,,,6,,,,20,2,2000
21-Feb-00,,,,,,7,,,,21,2,2000
22-Feb-00,,,,,,9,,,,22,2,2000
23-Feb-00,,,,,,5,,,,23,2,2000
24-Feb-00,,,,,,7,,,,24,2,2000
25-Feb-00,,,,,,7,,,,25,2,2000
26-Feb-00,,,,,,7,,,,26,2,2000
27-Feb-00,,,,,,5,,,,27,2,2000
28-Feb-00,,,,,,7,,,,28,2,2000
29-Feb-00,,,,,,7,,,,29,2,2000
01-Mar-00,,,,11,8,7,,,,1,3,2000
02-Mar-00,21.5,,5.6,,,1.5,,,,2,3,2000
03-Mar-00,6.1,,,,,1.1,,,,3,3,2000
04-Mar-00,,,,,,4.5,,,,4,3,2000
05-Mar-00,0.3,,,,2,3.8,,,,5,3,2000
06-Mar-00,0.3,,,1.3,,8.3,,,,6,3,2000
07-Mar-00,,,,,,7,,,,7,3,2000
08-Mar-00,,,,,,6,,,,8,3,2000
09-Mar-00,,,,,,5,,,,9,3,2000
10-Mar-00,,,,,,5,,,,10,3,2000
11-Mar-00,,,,,,5,,,,11,3,2000
12-Mar-00,,,,,,5,,,,12,3,2000
13-Mar-00,,,,,,5,,,,13,3,2000
14-Mar-00,,,,,,3,,,,14,3,2000
15-Mar-00,,,,,,5,,,,15,3,2000
16-Mar-00,,,,,,5,,,,16,3,2000
17-Mar-00,,,,,,5.5,,,,17,3,2000
18-Mar-00,,,,,,5,,,,18,3,2000
19-Mar-00,,,,,,5.5,,,,19,3,2000
20-Mar-00,,,,,,5,,,,20,3,2000
21-Mar-00,,,,,,4,,,,21,3,2000
22-Mar-00,,,,,,5.4,,,,22,3,2000
23-Mar-00,,,,,,4.5,,,,23,3,2000
24-Mar-00,,,,,,5,,,,24,3,2000
25-Mar-00,,,,,,5,,,,25,3,2000
26-Mar-00,,,,,,6,,,,26,3,2000
27-Mar-00,,,,,,5,,,,27,3,2000
28-Mar-00,,,,,,5.5,,,,28,3,2000
29-Mar-00,,,,,,5,,,,29,3,2000
30-Mar-00,,,,,,4.5,,,,30,3,2000
31-Mar-00,0,,,,,5,0,,,31,3,2000
01-Apr-00,0,,,,,4.5,0,,,1,4,2000
02-Apr-00,0,,,,1.8,5,0,,,2,4,2000
03-Apr-00,6,,3.5,3.4,3,0.4,0,,,3,4,2000
04-Apr-00,0,,,0,0,6,0,,,4,4,2000
05-Apr-00,0,,,0,0,4,0,,,5,4,2000
06-Apr-00,0,,,0,0,4,0,,,6,4,2000
07-Apr-00,0,,,0,0,3,0,,,7,4,2000
08-Apr-00,0,,,0,0,4,0,,,8,4,2000
09-Apr-00,0,,,0,0,6,0,,,9,4,2000
10-Apr-00,0,,,0,0,2,0,,,10,4,2000
11-Apr-00,0,,,0,0,2.5,0,,,11,4,2000
12-Apr-00,0,,,0,0,4.5,0,,,12,4,2000
